id,category,subcategory,monthly,annual,payment_mode,notes
1,Grocery,Milk,4000,48000,Cash,
2,Grocery,Grocery,10000,120000,Cash,
3,Grocery,Vegetables,2000,24000,Cash,
4,Grocery,Fruits,5000,60000,Cash,
5,Grocery,Vegetables Extra,1000,12000,Cash,
6,Grocery,Akshaykalpa,1000,12000,Cash,
7,Grocery,Water,800,9600,Cash,
8,Utility,Wifi,1450,17400,Card,
9,SIP,SSY,12000,144000,Cash,
10,SIP,PPF,12000,144000,Cash,
11,SIP,Committee,20000,240000,Cash,
12,Utility,IGL Gas,900,10800,Solar,
13,Utility,Mobile,250,3000,Card,
14,Utility,Electricity,500,6000,Solar,
15,Medical,Medicine,10000,120000,Card,
16,Fuel,Petrol,4000,48000,Card,
17,Dining,Office Lunch,1500,18000,Cash,
18,Dining,Weekend Munching,2500,30000,Cash,
19,Medical,Doctor,5000,60000,Card,
20,Maid,Maid + Car Cleaning,3700,44400,Cash,
21,Loan,Home Loan,21500,258000,Cash,
22,Rent,House Rent,35000,420000,Cash,
23,Loan,Personal Loan,8500,102000,Cash,
24,Insurance,Max ULIP,1667,20000,Card,Annual one-time
25,Insurance,Term Insurance,5500,66000,Card,
26,Investment,Gold,833,10000,Card,
27,Investment,NPS,4167,50000,Card,
28,Insurance,Car Insurance,1000,12000,Card,
29,Insurance,Ruby LIC,2000,24000,Card,
30,Service,Car Service,1000,12000,Card,
31,Education,School Fees,25000,300000,Card,Part 1: 65k + Part 2: 60k via card
32,Loan,HDFC 30 RD,2500,30000,Card,
33,Service,La Maintenance,3300,39600,Card,
34,Travel,Flights,4167,50000,Card,
35,Travel,Hotels,2083,25000,Card,
36,Shopping,Apparel,6250,75000,Card,Bonus allocation
37,Entertainment,Discretionary,2000,24000,Card,Reserve - was unplanned
