id,type,name,parent,notes
1,category,Dining,,
2,category,Fuel,,
3,category,Entertainment,,
4,category,Travel,,
5,category,Insurance,,
6,category,Investment,,
7,category,Medical,,
8,category,Shopping,,
9,category,Grocery,,
10,category,Utility,,
11,category,Education,,
12,category,Maid,,
13,category,Service,,
14,category,Loan,,
15,category,Rent,,
16,category,SIP,,
17,category,Misc,,
18,category,Reversal,,
19,category,Bonus,,
20,subcategory,Restaurant,Dining,
21,subcategory,Cafe,Dining,
22,subcategory,Office Lunch,Dining,
23,subcategory,Weekend Munching,Dining,
24,subcategory,Petrol,Fuel,
25,subcategory,Movies,Entertainment,
26,subcategory,Gaming Cafe,Entertainment,
27,subcategory,Media,Entertainment,
28,subcategory,Flights,Travel,
29,subcategory,Hotels,Travel,
30,subcategory,Resort,Travel,
31,subcategory,Local Transport,Travel,
32,subcategory,Forex Fee,Travel,
33,subcategory,Forex Tax,Travel,
34,subcategory,General,Insurance,
35,subcategory,Term Insurance,Insurance,
36,subcategory,Car Insurance,Insurance,
37,subcategory,Ruby LIC,Insurance,
38,subcategory,Health Insurance,Insurance,
39,subcategory,Home,Investment,
40,subcategory,ULIP,Investment,
41,subcategory,Gold,Investment,
42,subcategory,NPS,Investment,
43,subcategory,PPF,Investment,
44,subcategory,SSY,Investment,
45,subcategory,Equity SIP,Investment,
46,subcategory,Pharmacy,Medical,
47,subcategory,Doctor,Medical,
48,subcategory,PM Scheme,Medical,
49,subcategory,Medicine,Medical,
50,subcategory,Apparel,Shopping,
51,subcategory,Retail,Shopping,
52,subcategory,Electronics,Shopping,
53,subcategory,Bulk Grocery,Grocery,
54,subcategory,Milk,Grocery,
55,subcategory,Vegetables,Grocery,
56,subcategory,Fruits,Grocery,
57,subcategory,Water,Grocery,
58,subcategory,Mobile/Broadband,Utility,
59,subcategory,Wifi,Utility,
60,subcategory,IGL Gas,Utility,
61,subcategory,Electricity,Utility,
62,subcategory,Mobile,Utility,
63,subcategory,School,Education,
64,subcategory,Fitness,Education,
65,subcategory,Higher Ed,Education,
66,subcategory,Coaching,Education,
67,subcategory,Maid + Car Cleaning,Maid,
68,subcategory,Car Service,Service,
69,subcategory,La Maintenance,Service,
70,subcategory,Home Loan,Loan,
71,subcategory,Personal Loan,Loan,
72,subcategory,HDFC 30 RD,Loan,
73,subcategory,House Rent,Rent,
74,subcategory,Committee,SIP,
75,subcategory,CRED,Misc,
76,subcategory,Personal Service,Misc,
77,card,ICICI Emerald,,Primary credit card
78,card,ICICI Emerald 0107,,Add-on card
79,card,SBI Cashback,,
80,card,Axis Airtel,,
81,card,HDFC Rupay,,
82,card,HSBC,,
83,card,IDFC,,
84,card,Cash,,
85,card,UPI,,
86,card,Bank Transfer,,
87,card,Manual,,
