id,date,merchant,amount,category,subcategory,card,source_statement,notes
1,2026-04-18,BRIMS KITCHEN BANGALORE,667.00,Dining,Restaurant,ICICI Emerald,ICICI_May_26,
2,2026-04-18,CHAI POINT BANGALORE,129.00,Dining,Cafe,ICICI Emerald,ICICI_May_26,
3,2026-04-18,PAYBOOKMYSHOW COM GURGAON,483.34,Entertainment,Movies,ICICI Emerald,ICICI_May_26,
4,2026-04-21,VP FUEL PARK Bangalore,3089.67,Fuel,Petrol,ICICI Emerald,ICICI_May_26,
5,2026-04-22,Fuel Surcharges Reversal,-30.56,Fuel,Reversal,ICICI Emerald,ICICI_May_26,
6,2026-04-22,IGST Fuel Surcharge Reversal,-5.50,Fuel,Reversal,ICICI Emerald,ICICI_May_26,
7,2026-04-19,CALIFORNIA BURRITO BANGALORE,293.00,Dining,Restaurant,ICICI Emerald,ICICI_May_26,
8,2026-04-22,CHAI POINT BANGALORE,212.00,Dining,Cafe,ICICI Emerald,ICICI_May_26,
9,2026-04-23,POLICYBAZAAR GURGAON,20000.02,Investment,ULIP,ICICI Emerald,ICICI_May_26,Max ULIP annual
10,2026-04-24,POLICYBAZAAR GURGAON,2584.47,Insurance,General,ICICI Emerald,ICICI_May_26,
11,2026-04-25,RAZGame Theory Bengaluru,45410.76,Entertainment,Gaming Cafe,ICICI Emerald,ICICI_May_26,
12,2026-04-30,CHAI POINT BANGALORE,188.00,Dining,Cafe,ICICI Emerald,ICICI_May_26,
13,2026-05-01,RAZDREAMPLUG PAYTECH Bengaluru,125.00,Misc,CRED,ICICI Emerald,ICICI_May_26,
14,2026-05-01,DREAMPLUG PAYTECH SO BENGALURU,80.00,Misc,CRED,ICICI Emerald,ICICI_May_26,
15,2026-05-02,DHYAN DISHES LLP BENGALURU,790.00,Dining,Restaurant,ICICI Emerald,ICICI_May_26,
16,2026-05-02,DHYAN DISHES LLP BENGALURU,240.00,Dining,Restaurant,ICICI Emerald,ICICI_May_26,
17,2026-04-30,AIRASIA_D7 SINGAPORE,89865.00,Travel,Flights,ICICI Emerald,ICICI_May_26,International
18,2026-05-03,DCC Fee,1797.30,Travel,Forex Fee,ICICI Emerald,ICICI_May_26,
19,2026-05-03,IGST on DCC Fee,323.51,Travel,Forex Tax,ICICI Emerald,ICICI_May_26,
20,2026-05-03,HANUMAN RAM DEWASI BANGALORE,2000.00,Misc,Personal Service,ICICI Emerald,ICICI_May_26,
21,2026-05-03,SGMPL WHISPERING PETA BANGALORE,200000.00,Investment,Home,ICICI Emerald,ICICI_May_26,Property investment
22,2026-05-04,ICICILOMBARD PUNE,8774.02,Insurance,General,ICICI Emerald,ICICI_May_26,
23,2026-05-06,REWARD 360 GLOBAL SERV BANGALORE,24495.60,Grocery,Bulk Grocery,ICICI Emerald,ICICI_May_26,User-tagged as Grocery
24,2026-05-07,SCHOOLAY TECHNOLOGI Bangalore,2853.00,Education,School,ICICI Emerald,ICICI_May_26,
25,2026-05-08,PRADHAN MANTRI BHARTI BANGALORE,2435.00,Medical,PM Scheme,ICICI Emerald,ICICI_May_26,
26,2026-05-09,GOODGUDI RETAIL PVT LT BANGALORE,218.00,Shopping,Retail,ICICI Emerald,ICICI_May_26,
27,2026-05-11,REWARD 360 GLOBAL SERV BANGALORE,41620.00,Travel,Hotel,ICICI Emerald,ICICI_May_26,
28,2026-05-12,Zudio BENGALURU,2396.00,Shopping,Apparel,ICICI Emerald,ICICI_May_26,
29,2026-05-12,HANUMAN RAM DEWASI BANGALORE,1200.00,Misc,Personal Service,ICICI Emerald,ICICI_May_26,
30,2026-05-13,ELITE SQUAD GYMNASTIC BANGALORE,8400.00,Education,Fitness,ICICI Emerald,ICICI_May_26,
31,2026-05-13,GANESH MEDICALS BANGALORE,400.00,Medical,Pharmacy,ICICI Emerald,ICICI_May_26,
32,2026-05-14,VP FUEL PARK Bangalore,2395.09,Fuel,Petrol,ICICI Emerald,ICICI_May_26,
33,2026-05-15,Fuel Surcharges Reversal,-23.69,Fuel,Reversal,ICICI Emerald,ICICI_May_26,
34,2026-05-15,IGST Fuel Surcharge Reversal,-4.26,Fuel,Reversal,ICICI Emerald,ICICI_May_26,
35,2026-05-15,MC DONALDS HUNSUR,284.04,Dining,Restaurant,ICICI Emerald,ICICI_May_26,
36,2026-05-17,CLUB MAHINDRA VIRAJPET,5820.16,Travel,Resort,ICICI Emerald,ICICI_May_26,
37,2026-04-24,POLICYBAZAAR GURGAON,1012.88,Insurance,General,ICICI Emerald 0107,ICICI_May_26,
